iter	Passed	Remaining
166	451	899
167	453	897
168	456	894
169	459	891
170	462	889
171	464	886
172	467	883
173	469	880
174	472	877
175	475	874
176	477	871
177	480	868
178	482	865
179	485	862
180	488	860
181	490	857
182	493	854
183	495	851
184	498	848
185	501	846
186	503	843
187	506	840
188	509	837
189	511	834
190	514	832
191	516	828
192	519	826
193	522	823
194	524	820
195	527	817
196	530	816
197	533	813
198	535	810
199	538	807
200	540	804
201	543	801
202	546	799
203	548	796
204	551	793
205	553	790
206	556	787
207	559	785
208	561	782
209	564	779
210	567	776
211	569	774
212	572	771
213	575	768
214	577	765
215	580	762
216	582	760
217	585	757
218	588	754
219	590	752
220	593	749
221	596	746
222	598	743
223	601	741
224	604	738
225	606	735
226	609	732
227	612	730
228	614	727
229	617	724
230	620	722
231	622	719
232	625	716
233	627	713
234	630	710
235	632	707
236	635	705
237	638	702
238	640	699
239	643	696
240	645	694
241	648	691
242	651	688
243	653	686
244	656	683
245	658	680
246	661	677
247	664	674
248	667	672
249	669	669
250	672	666
251	674	664
252	677	661
253	679	658
254	682	655
255	685	653
256	688	650
257	690	647
258	693	645
259	696	642
260	698	640
261	701	637
262	704	634
263	706	631
264	709	629
265	711	626
266	714	623
267	717	620
268	719	618
269	722	615
270	725	612
271	727	609
272	730	607
273	732	604
274	735	601
275	738	599
276	740	596
277	743	593
278	745	590
279	748	588
280	751	585
281	753	582
282	756	580
283	759	577
284	761	574
285	764	571
286	766	569
287	769	566
288	772	563
289	774	560
290	777	558
291	779	555
292	782	552
293	785	550
294	787	547
295	790	544
296	793	542
297	795	539
298	798	536
299	800	533
300	803	531
301	806	528
302	808	525
303	811	523
304	813	520
305	816	517
306	819	514
307	821	512
308	824	509
309	826	506
310	829	504
311	831	501
312	834	498
313	837	496
314	840	493
315	842	490
316	845	487
317	847	485
318	850	482
319	853	480
320	856	477
321	859	475
322	862	472
323	865	470
324	868	467
325	871	465
326	875	463
327	877	460
328	881	457
329	884	455
330	887	452
331	889	450
332	892	447
333	895	445
334	898	442
335	901	440
336	904	437
337	906	434
338	909	432
339	912	429
340	915	426
341	918	424
342	920	421
343	923	418
344	926	416
345	929	413
346	932	411
347	935	408
348	938	405
349	941	403
350	943	400
351	946	397
352	949	395
353	952	392
354	954	389
355	957	387
356	959	384
357	963	381
358	965	379
359	968	376
360	971	374
361	974	371
362	977	369
363	980	366
364	983	363
365	985	360
366	988	358
367	991	355
368	993	352
369	996	350
370	999	347
371	1001	344
372	1004	342
373	1007	339
374	1009	336
375	1013	334
376	1016	331
377	1018	328
378	1021	326
379	1024	323
380	1026	320
381	1029	317
382	1032	315
383	1034	312
384	1037	309
385	1039	307
386	1042	304
387	1044	301
388	1047	298
389	1050	296
390	1053	293
391	1055	290
392	1058	288
393	1060	285
394	1063	282
395	1066	279
396	1068	277
397	1071	274
398	1073	271
399	1076	269
400	1078	266
401	1081	263
402	1084	261
403	1086	258
404	1089	255
405	1092	252
406	1094	250
407	1097	247
408	1100	244
409	1102	242
410	1105	239
411	1108	236
412	1110	234
413	1113	231
414	1115	228
415	1118	225
416	1121	223
417	1124	220
418	1126	217
419	1129	215
420	1132	212
421	1135	209
422	1137	207
423	1140	204
424	1143	201
425	1145	199
426	1148	196
427	1150	193
428	1153	190
429	1156	188
430	1158	185
431	1161	182
432	1164	180
433	1166	177
434	1169	174
435	1172	172
436	1174	169
437	1177	166
438	1179	163
439	1182	161
440	1185	158
441	1187	155
442	1190	153
443	1193	150
444	1197	147
445	1199	145
446	1202	142
447	1204	139
448	1207	137
449	1209	134
450	1212	131
451	1215	129
452	1217	126
453	1219	123
454	1222	120
455	1224	118
456	1227	115
457	1230	112
458	1232	110
459	1235	107
460	1238	104
461	1240	102
462	1243	99
463	1245	96
464	1248	93
465	1251	91
466	1253	88
467	1256	85
468	1259	83
469	1261	80
470	1264	77
471	1267	75
472	1269	72
473	1272	69
474	1274	67
475	1277	64
476	1280	61
477	1283	59
478	1285	56
479	1288	53
480	1290	50
481	1293	48
482	1296	45
483	1298	42
484	1301	40
485	1303	37
486	1305	34
487	1308	32
488	1311	29
489	1314	26
490	1316	24
491	1319	21
492	1321	18
493	1324	16
494	1327	13
495	1329	10
496	1332	8
497	1334	5
498	1337	2
499	1339	0
