iter	Logloss
0	0.6894296248
1	0.686366861
2	0.6836152732
3	0.6812655625
4	0.6790787387
5	0.6771295153
6	0.6753164384
7	0.6735051549
8	0.6716950879
9	0.670202912
10	0.6687746629
11	0.6674929337
12	0.6662405821
13	0.6651859112
14	0.6643046476
15	0.663269794
16	0.6624053238
17	0.6616275924
18	0.660849793
19	0.6601275929
20	0.6594353783
21	0.6586642137
22	0.6580775838
23	0.6574507776
24	0.6568269276
25	0.656246163
26	0.6556834104
27	0.6552043796
28	0.6547739046
29	0.6542634311
30	0.6537927118
31	0.6534377202
32	0.6530182483
33	0.6524681306
34	0.6520842637
35	0.6517647383
36	0.6513816887
37	0.651053581
38	0.6506404108
39	0.6504159849
40	0.6501858844
41	0.6499993044
42	0.6498159281
43	0.649497357
44	0.6492172438
45	0.6489350486
46	0.6487390401
47	0.6485296409
48	0.6482243805
49	0.6479248471
50	0.6475670251
51	0.6474121679
52	0.6471051974
53	0.6468362487
54	0.6466326969
55	0.6464035502
56	0.6461362154
57	0.645750231
58	0.6455230299
59	0.6452384102
60	0.6450649568
61	0.6447544438
62	0.6445094767
63	0.6442726203
64	0.6441696118
65	0.6438807146
66	0.6436383194
67	0.643375969
68	0.6432194005
69	0.6431101471
70	0.6428831166
71	0.6427006971
72	0.6424385786
73	0.6422233342
74	0.6420195894
75	0.6418907019
76	0.6417562954
77	0.6415178723
78	0.6412678309
79	0.6411424473
80	0.640952765
81	0.640747947
82	0.6405745631
83	0.6404958976
84	0.6402435479
85	0.6400309839
86	0.6398548697
87	0.6397221147
88	0.639623087
89	0.6394494871
90	0.6391955498
91	0.6390126776
92	0.638795006
93	0.6386299415
94	0.6384463818
95	0.6382973877
96	0.63808225
97	0.6379006279
98	0.6376753016
99	0.6375251456
100	0.6372730851
101	0.6372650745
102	0.6370890855
103	0.6369132354
104	0.6367802049
105	0.6366201721
106	0.6365665836
107	0.6364399252
108	0.6362990226
109	0.6361523062
110	0.6360001143
111	0.6357668521
112	0.6355273709
113	0.6354386765
114	0.635340893
115	0.6351914549
116	0.6349960769
117	0.6347419237
118	0.6345655014
119	0.634496378
120	0.6343236806
121	0.6341445302
122	0.6339717484
123	0.6337767947
124	0.6335890384
125	0.6334915841
126	0.6332960231
127	0.6332185787
128	0.6331085647
129	0.6329967285
130	0.6327858946
131	0.6326861799
132	0.6325446192
133	0.6324791134
134	0.6323294843
135	0.6321548386
136	0.6319821518
137	0.6318629175
138	0.6317723332
139	0.6316282643
140	0.6314811578
141	0.6314564178
142	0.6312924386
143	0.6311035165
144	0.6309681882
145	0.6308735877
146	0.6307747994
147	0.630535513
148	0.6303586387
149	0.6302091648
150	0.6300775129
151	0.6299363111
152	0.6297610074
153	0.6296368459
154	0.6294721964
155	0.6293195876
156	0.6291829167
157	0.6290273281
