iter	Logloss
158	0.6288614045
159	0.6287608826
160	0.6286147367
161	0.628497129
162	0.6284060467
163	0.6282615944
164	0.6281124697
165	0.6279603289
166	0.6278544385
167	0.6277620221
168	0.6276767711
169	0.627539492
170	0.6274466353
171	0.6272495171
172	0.6272158042
173	0.6270629675
174	0.6269829509
175	0.6268226561
176	0.6267317659
177	0.6265553428
178	0.626405731
179	0.6262710347
180	0.6262187642
181	0.6260624845
182	0.6259630158
183	0.6257648401
184	0.6256286551
185	0.6254726672
186	0.6253549766
187	0.6251966726
188	0.6250502263
189	0.6249074511
190	0.6247915777
191	0.6246738529
192	0.6245111418
193	0.6243578028
194	0.6243326529
195	0.6242173355
196	0.6240415519
197	0.6239337947
198	0.6237325166
199	0.6236930823
200	0.6235906602
201	0.623519698
202	0.6233440313
203	0.6232423747
204	0.6230643278
205	0.6228604438
206	0.6227108405
207	0.6225196293
208	0.6223336982
209	0.6222630863
210	0.6221043483
211	0.6220236433
212	0.6218916925
213	0.6218084845
214	0.6216353615
215	0.6215315447
216	0.6213774256
217	0.6211803673
218	0.6210453015
219	0.6209026736
220	0.620763231
221	0.6207063295
222	0.6206623686
223	0.6204589054
224	0.6203446909
225	0.6201839991
226	0.6200536361
227	0.6198347646
228	0.6196784406
229	0.6195400271
230	0.6194819464
231	0.6194098749
232	0.6192513803
233	0.6191469111
234	0.6190554245
235	0.6189122675
236	0.618794232
237	0.6186438826
238	0.6185571493
239	0.6183617136
240	0.6182541148
241	0.6181205955
242	0.6180476567
243	0.617944682
244	0.6178351749
245	0.617695745
246	0.6175384098
247	0.6173961415
248	0.61724325
249	0.617100992
250	0.6169890844
251	0.6168225171
252	0.6167145202
253	0.616557125
254	0.6163850951
255	0.6162700317
256	0.6161084118
257	0.6159913054
258	0.615809993
259	0.6156458
260	0.6154715539
261	0.6154113579
262	0.6152189194
263	0.6149841778
264	0.6149573693
265	0.6148420029
266	0.6147480288
267	0.6145790877
268	0.6144417223
269	0.6143552426
270	0.6142413663
271	0.6141082843
272	0.613923781
273	0.6139175073
274	0.6137501237
275	0.6136368913
276	0.6135112253
277	0.6133926136
278	0.61329223
279	0.613274688
280	0.6131704749
281	0.6130729642
282	0.6129172527
283	0.6128429309
284	0.6128270536
285	0.6127537896
286	0.612648089
287	0.612463152
288	0.6123806683
289	0.612369993
290	0.6123206113
291	0.612286265
292	0.6121274727
293	0.6120005325
294	0.6118379712
295	0.6117811549
296	0.6116509779
297	0.6115582687
298	0.6114677943
299	0.6112709814
300	0.6110800617
301	0.6109170527
302	0.6108214016
303	0.6106204158
304	0.6105382936
305	0.610360953
306	0.6103216187
307	0.6102267
308	0.610017001
309	0.6099010512
310	0.6097865033
311	0.6097152086
312	0.6095282847
313	0.6093870859
314	0.609291672
315	0.609133966
316	0.6090890288
317	0.6089453246
318	0.6087750542
319	0.6087477282
320	0.6085537474
321	0.6083719077
322	0.6082524059
323	0.6080949888
324	0.6079166109
325	0.607792372
326	0.607714141
327	0.6076201763
328	0.6075003292
329	0.6073047768
330	0.6071673093
331	0.6070366584
332	0.6069623922
333	0.6068029073
334	0.6067591794
335	0.6066436771
336	0.6066419236
337	0.6065626175
338	0.6064009371
339	0.6062990826
340	0.6062124129
341	0.6060531788
342	0.6059690015
343	0.6058586609
344	0.6057464317
345	0.6056442105
346	0.6055011197
347	0.6053922389
348	0.6052800039
349	0.6051448823
350	0.6051170206
351	0.6049066424
352	0.6048403836
353	0.6047427604
354	0.6046964945
355	0.6046484781
356	0.6045477535
357	0.6044188852
358	0.604407921
359	0.6042621731
360	0.6040926118
361	0.6039979858
362	0.603893651
363	0.603775382
364	0.6037439967
365	0.6036490253
366	0.6035343104
367	0.6034315851
368	0.6034286378
369	0.6033189087
370	0.60319787
371	0.6031169673
372	0.6029809577
373	0.6029682858
374	0.6028069293
375	0.6026975733
376	0.6026094774
377	0.6025231711
378	0.6024234827
379	0.6023529902
380	0.6023023428
381	0.602233418
382	0.6021014603
383	0.6019551204
384	0.6018562833
385	0.6018077456
386	0.6016908011
387	0.6015188582
388	0.6014124464
389	0.6012861686
390	0.6012008008
391	0.6010661039
392	0.600904627
393	0.6007816989
394	0.6006723687
395	0.6006401658
396	0.6005642322
397	0.600473677
398	0.6003317242
399	0.6003122505
400	0.6001902602
401	0.5999821026
402	0.5999034575
403	0.5998700407
404	0.5997585636
405	0.5996574499
406	0.5994913736
407	0.5994304183
408	0.5992625753
409	0.5991668875
410	0.5990819262
411	0.5989268669
412	0.5987603743
413	0.598714849
414	0.5986349228
415	0.5985058488
416	0.598430109
417	0.5983553223
418	0.598225904
419	0.5980567991
420	0.5979660539
421	0.5978501159
422	0.5977217411
423	0.5976854494
424	0.5976142754
425	0.5974933735
426	0.5974911124
427	0.5974288884
428	0.5973304598
429	0.5972387702
430	0.597039875
431	0.5969824696
432	0.5968501632
433	0.596745149
434	0.5966185348
435	0.5965068637
436	0.596454813
437	0.5963319947
438	0.5962381743
439	0.5962003234
440	0.5960228947
441	0.5959488304
442	0.5958196427
443	0.5957121278
444	0.5956191127
445	0.5955029303
446	0.5954866449
447	0.5954421302
448	0.5953345547
449	0.595329929
450	0.595271588
451	0.5952107006
452	0.5950519365
453	0.594938113
454	0.5948593273
455	0.5947648751
456	0.5946958021
457	0.5945722607
458	0.5944355295
459	0.5943437983
460	0.5942965416
461	0.5941793664
462	0.5941024035
463	0.5940550097
464	0.5939084314
465	0.5938428072
466	0.5937121612
467	0.593571406
468	0.5935221255
469	0.5933632336
470	0.5932527414
471	0.5931653135
472	0.5930327571
473	0.592872509
474	0.592734869
475	0.5925722681
476	0.5924475256
477	0.5923624662
478	0.5922795755
479	0.5921899125
480	0.5921150836
481	0.5920143968
482	0.5919734016
483	0.5919206217
484	0.5918061723
485	0.5917341015
486	0.5915803059
487	0.591424558
488	0.5912994217
489	0.591205724
490	0.5910683075
491	0.5909924301
492	0.5908420839
493	0.5908062882
494	0.5907160927
495	0.5905945777
496	0.5904587464
497	0.5903286583
498	0.5902371708
499	0.5901493071
